matchup,subject,knowledge_level,own,confidence,meta,actual
OKC @ ORL,1,2,0,0.2,0.4,0
OKC @ ORL,2,4,0,0.8,0.55,0
OKC @ ORL,3,4,0,0.8,0.7,0
OKC @ ORL,4,1,0,0.5,0.5,0
OKC @ ORL,5,2,1,0.23,0.3,0
OKC @ ORL,6,5,0,0.7,0.5,0
OKC @ ORL,7,3,0,0.8,0.85,0
OKC @ ORL,8,2,0,0.8,0.65,0
OKC @ ORL,9,2,0,0,0.5,0
OKC @ ORL,10,3,0,0.7,0.7,0
OKC @ ORL,11,3,0,0.75,0.7,0
OKC @ ORL,12,3,0,1,0.75,0
OKC @ ORL,13,3,0,0.9,0.8,0
OKC @ ORL,14,1,0,0.5,0.5,0
OKC @ ORL,15,3,1,0.5,0.45,0
OKC @ ORL,16,1,0,1,0.8,0
OKC @ ORL,17,3,0,0.7,0.5,0
OKC @ ORL,18,4,0,0.8,0.8,0
OKC @ ORL,19,3,0,0.6,0.5,0
OKC @ ORL,20,4,0,0.9,0.85,0
OKC @ ORL,21,3,0,0.5,0.65,0
OKC @ ORL,22,1,1,0.4,0.6,0
OKC @ ORL,23,3,0,0.9,0.9,0
OKC @ ORL,24,3,0,0.9,0.75,0
OKC @ ORL,25,5,0,0.6,0.5,0
LAL @ NYK,1,2,0,0.6,0.5,0
LAL @ NYK,2,4,0,0.9,0.8,0
LAL @ NYK,3,4,0,0.9,1,0
LAL @ NYK,4,1,0,0.5,0.5,0
LAL @ NYK,5,2,0,0.5,0.3,0
LAL @ NYK,6,5,0,0.9,0.9,0
LAL @ NYK,7,3,0,1,1,0
LAL @ NYK,8,2,0,0.9,0.8,0
LAL @ NYK,9,2,0,0.9,0.9,0
LAL @ NYK,10,3,0,1,0.6,0
LAL @ NYK,11,3,0,0.9,0.9,0
LAL @ NYK,12,3,0,1,1,0
LAL @ NYK,13,3,1,1,0.85,0
LAL @ NYK,14,1,0,1,1,0
LAL @ NYK,15,3,0,1,1,0
LAL @ NYK,16,1,0,1,1,0
LAL @ NYK,17,3,0,0.7,0.7,0
LAL @ NYK,18,4,0,1,1,0
LAL @ NYK,19,3,0,0.98,0.95,0
LAL @ NYK,20,4,0,0.99,0.99,0
LAL @ NYK,21,3,0,1,1,0
LAL @ NYK,22,1,0,1,0.95,0
LAL @ NYK,23,3,0,0.9,0.9,0
LAL @ NYK,24,3,0,0.95,0.95,0
LAL @ NYK,25,5,0,1,0.8,0
WAS @ MIA,1,2,1,0.2,0.4,1
WAS @ MIA,2,4,1,0.85,0.7,1
WAS @ MIA,3,4,1,0.7,0.5,1
WAS @ MIA,4,1,0,0.5,0.5,1
WAS @ MIA,5,2,1,0.35,0.5,1
WAS @ MIA,6,5,1,0.8,0.7,1
WAS @ MIA,7,3,1,0.5,0.6,1
WAS @ MIA,8,2,0,0.65,0.6,1
WAS @ MIA,9,2,1,0.6,0.7,1
WAS @ MIA,10,3,1,0.8,0.05,1
WAS @ MIA,11,3,1,0.65,0.65,1
WAS @ MIA,12,3,1,0.7,0.7,1
WAS @ MIA,13,3,0,0.7,0.7,1
WAS @ MIA,14,1,1,0.6,0.5,1
WAS @ MIA,15,3,0,0.8,0.7,1
WAS @ MIA,16,1,1,0.8,0.7,1
WAS @ MIA,17,3,1,0.7,0.7,1
WAS @ MIA,18,4,1,1,0.9,1
WAS @ MIA,19,3,1,0.7,0.6,1
WAS @ MIA,20,4,1,0.85,0.85,1
WAS @ MIA,21,3,1,0.8,0.9,1
WAS @ MIA,22,1,1,0.9,0.85,1
WAS @ MIA,23,3,0,0.7,0.6,1
WAS @ MIA,24,3,1,0.6,0.6,1
WAS @ MIA,25,5,1,0.55,0.55,1
PHI @ TOR,1,2,1,0.75,0.8,1
PHI @ TOR,2,4,1,0.65,0.5,1
PHI @ TOR,3,4,0,0.85,0.6,1
